day,S,I,R,D
0,89888,106,6,0
1,89872,117,9,2
2,89852,133,12,3
3,89832,139,24,5
4,89810,152,32,6
5,89790,165,38,7
6,89774,172,43,11
7,89756,179,51,14
8,89735,192,59,14
9,89714,202,69,15
10,89680,224,78,18
11,89652,237,93,18
12,89610,265,105,20
13,89577,281,119,23
14,89544,297,132,27
15,89509,305,151,35
16,89477,323,162,38
17,89437,338,182,43
18,89396,357,200,47
19,89352,377,218,53
20,89310,392,240,58
21,89265,419,256,60
22,89226,429,283,62
23,89170,458,305,67
24,89116,483,328,73
25,89065,510,346,79
26,89002,544,370,84
27,88946,566,399,89
28,88888,599,420,93
29,88829,622,452,97
30,88777,641,481,101
31,88713,672,509,106
32,88662,677,550,111
33,88605,687,591,117
34,88550,699,629,122
35,88494,718,660,128
36,88427,743,700,130
37,88372,746,745,137
38,88305,771,784,140
39,88236,798,814,152
40,88165,821,856,158
41,88092,844,897,167
42,88033,851,942,174
43,87963,873,979,185
44,87883,913,1012,192
45,87790,937,1071,202
46,87701,981,1111,207
47,87616,1010,1155,219
48,87531,1035,1208,226
49,87452,1061,1248,239
50,87363,1092,1297,248
51,87276,1113,1351,260
52,87184,1138,1410,268
53,87089,1176,1458,277
54,86998,1191,1521,290
55,86908,1215,1580,297
56,86787,1262,1640,311
57,86680,1292,1708,320
58,86579,1307,1773,341
59,86476,1347,1823,354
60,86373,1364,1890,373
61,86270,1397,1944,389
62,86163,1427,2006,404
63,86053,1470,2062,415
64,85952,1490,2130,428
65,85841,1506,2210,443
66,85726,1536,2283,455
67,85624,1555,2345,476
68,85517,1581,2409,493
69,85395,1598,2495,512
70,85280,1618,2571,531
71,85179,1616,2657,548
72,85064,1647,2723,566
73,84945,1660,2806,589
74,84823,1689,2885,603
75,84693,1709,2977,621
76,84556,1735,3068,641
77,84425,1777,3146,652
78,84308,1788,3234,670
79,84185,1786,3339,690
80,84055,1808,3422,715
81,83900,1854,3509,737
82,83764,1865,3616,755
83,83617,1912,3701,770
84,83467,1951,3789,793
85,83310,1995,3889,806
86,83163,2025,3989,823
87,83004,2073,4082,841
88,82857,2089,4192,862
89,82686,2143,4295,876
90,82524,2183,4396,897
91,82385,2187,4499,929
92,82238,2200,4616,946
93,82096,2212,4721,971
94,81913,2260,4837,990
95,81757,2300,4935,1008
96,81593,2332,5046,1029
97,81443,2354,5151,1052
98,81281,2378,5266,1075
99,81131,2374,5396,1099
100,80972,2381,5523,1124
101,80806,2374,5668,1152
102,80651,2385,5791,1173
103,80501,2389,5910,1200
104,80357,2395,6024,1224
105,80205,2385,6161,1249
106,80035,2414,6281,1270
107,79876,2414,6418,1292
108,79692,2456,6535,1317
109,79491,2518,6653,1338
110,79320,2536,6785,1359
111,79142,2551,6915,1392
112,78960,2569,7047,1424
113,78786,2576,7186,1452
114,78613,2588,7319,1480
115,78434,2639,7427,1500
116,78259,2669,7544,1528
117,78059,2720,7671,1550
118,77876,2735,7808,1581
119,77685,2776,7935,1604
