day,S,I,R,D
0,89900,100,0,0
1,89889,104,6,1
2,89877,110,10,3
3,89859,124,13,4
4,89835,141,19,5
5,89812,151,29,8
6,89800,155,35,10
7,89779,165,42,14
8,89753,179,53,15
9,89731,191,62,16
10,89709,205,68,18
11,89687,217,75,21
12,89656,239,83,22
13,89623,263,90,24
14,89589,285,100,26
15,89551,305,112,32
16,89511,320,131,38
17,89477,335,143,45
18,89444,351,158,47
19,89410,358,178,54
20,89376,367,196,61
21,89344,380,213,63
22,89306,396,228,70
23,89256,426,244,74
24,89210,446,267,77
25,89161,471,287,81
26,89116,494,306,84
27,89066,514,328,92
28,89018,535,350,97
29,88978,538,386,98
30,88930,549,419,102
31,88873,569,451,107
32,88828,582,476,114
33,88777,602,503,118
34,88726,611,537,126
35,88658,646,564,132
36,88597,671,595,137
37,88532,691,633,144
38,88467,709,670,154
39,88403,729,702,166
40,88336,759,735,170
41,88277,760,781,182
42,88207,784,819,190
43,88139,814,854,193
44,88069,839,892,200
45,87993,874,923,210
46,87920,903,962,215
47,87841,920,1014,225
48,87760,944,1059,237
49,87685,960,1109,246
50,87611,982,1152,255
51,87534,1003,1204,259
52,87445,1034,1252,269
53,87369,1044,1309,278
54,87286,1058,1368,288
55,87183,1095,1417,305
56,87088,1127,1470,315
57,86986,1173,1516,325
58,86895,1184,1586,335
59,86799,1227,1630,344
60,86710,1261,1680,349
61,86601,1310,1731,358
62,86503,1338,1789,370
63,86410,1357,1854,379
64,86304,1377,1924,395
65,86210,1386,1994,410
66,86103,1415,2058,424
67,85991,1451,2120,438
68,85888,1459,2195,458
69,85774,1487,2266,473
70,85648,1534,2332,486
71,85528,1567,2406,499
72,85399,1613,2476,512
73,85295,1622,2556,527
74,85180,1637,2639,544
75,85055,1666,2721,558
76,84924,1707,2794,575
77,84812,1725,2876,587
78,84684,1756,2961,599
79,84563,1768,3053,616
80,84415,1822,3134,629
81,84266,1853,3229,652
82,84126,1881,3328,665
83,83998,1886,3431,685
84,83858,1926,3517,699
85,83702,1974,3605,719
86,83566,1977,3711,746
87,83428,1987,3818,767
88,83301,1985,3931,783
89,83169,1995,4031,805
90,83024,2024,4129,823
91,82881,2041,4236,842
92,82746,2068,4329,857
93,82595,2095,4432,878
94,82454,2136,4516,894
95,82295,2156,4639,910
96,82125,2199,4744,932
97,81952,2253,4844,951
98,81779,2293,4953,975
99,81623,2323,5065,989
100,81441,2357,5185,1017
101,81276,2376,5313,1035
102,81124,2378,5438,1060
103,80951,2421,5551,1077
104,80776,2464,5662,1098
105,80616,2482,5783,1119
106,80457,2502,5900,1141
107,80275,2544,6021,1160
108,80115,2540,6150,1195
109,79946,2559,6277,1218
110,79772,2610,6377,1241
111,79607,2605,6518,1270
112,79453,2625,6628,1294
113,79288,2636,6759,1317
114,79123,2628,6897,1352
115,78923,2680,7018,1379
116,78747,2705,7144,1404
117,78555,2733,7280,1432
118,78348,2773,7417,1462
119,78143,2806,7559,1492
